

============2021-01-23 11:06:00===========

Connecting to host 10.10.0.23, port 25004
Reverse mode, remote host 10.10.0.23 is sending
[  5] local 172.16.62.237 port 59196 connected to 10.10.0.23 port 25004
[ ID] Interval           Transfer     Bandwidth
[  5]   0.30-0.40   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   0.40-0.50   sec   250 KBytes  20.4 Mbits/sec                  
[  5]   0.50-0.60   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   0.60-0.70   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   0.70-0.70   sec   186 KBytes   482 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  5]   0.00-0.70   sec  2.20 MBytes  26.2 Mbits/sec    0             sender
[  5]   0.00-0.70   sec  2.13 MBytes  25.4 Mbits/sec                  receiver

iperf Done.
Connecting to host 10.10.0.23, port 25001
Reverse mode, remote host 10.10.0.23 is sending
[  5] local 172.16.62.237 port 53950 connected to 10.10.0.23 port 25001
[ ID] Interval           Transfer     Bandwidth
[  5]   0.00-0.10   sec   104 KBytes  8.49 Mbits/sec                  
[  5]   0.10-0.20   sec   269 KBytes  22.0 Mbits/sec                  
[  5]   0.20-0.30   sec   345 KBytes  28.3 Mbits/sec                  
[  5]   0.30-0.40   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   0.40-0.50   sec   250 KBytes  20.5 Mbits/sec                  
[  5]   0.50-0.60   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   0.60-0.70   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   0.70-0.80   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   0.80-0.90   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   0.90-1.00   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   1.00-1.10   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   1.10-1.20   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   1.20-1.30   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   1.30-1.40   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   1.40-1.50   sec   384 KBytes  31.1 Mbits/sec                  
[  5]   1.50-1.60   sec   256 KBytes  21.3 Mbits/sec                  
[  5]   1.60-1.70   sec   256 KBytes  20.9 Mbits/sec                  
[  5]   1.70-1.80   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   1.80-1.90   sec   384 KBytes  31.4 Mbits/sec                  
[  5]   1.90-2.00   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   2.00-2.10   sec   384 KBytes  31.4 Mbits/sec                  
[  5]   2.10-2.20   sec   256 KBytes  21.0 Mbits/sec                  


============2021-01-23 11:06:20===========

[  5]   2.20-2.30   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   2.30-2.40   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   2.40-2.50   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   2.50-2.60   sec   384 KBytes  31.4 Mbits/sec                  
[  5]   2.60-2.70   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   2.70-2.80   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   2.80-2.90   sec   384 KBytes  31.4 Mbits/sec                  
[  5]   2.90-3.00   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   3.00-3.10   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   3.10-3.20   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   3.20-3.30   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   3.30-3.40   sec   384 KBytes  31.4 Mbits/sec                  
[  5]   3.40-3.50   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   3.50-3.60   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   3.60-3.70   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   3.70-3.80   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   3.80-3.90   sec   384 KBytes  31.4 Mbits/sec                  
[  5]   3.90-4.00   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   4.00-4.10   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   4.10-4.20   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   4.20-4.30   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   4.30-4.40   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   4.40-4.50   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   4.50-4.60   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   4.60-4.70   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   4.70-4.80   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   4.80-4.90   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   4.90-5.00   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   5.00-5.10   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   5.10-5.20   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   5.20-5.30   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   5.30-5.40   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   5.40-5.50   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   5.50-5.60   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   5.60-5.70   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   5.70-5.80   sec   384 KBytes  31.4 Mbits/sec                  
[  5]   5.80-5.90   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   5.90-6.00   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   6.00-6.10   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   6.10-6.20   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   6.20-6.30   sec   384 KBytes  31.4 Mbits/sec                  
[  5]   6.30-6.40   sec   256 KBytes  21.0 Mbits/sec                  
